phase_mm,front_left_extension_mm,front_right_extension_mm,rear_left_extension_mm,rear_right_extension_mm
110.083600,117.236364,117.236364,0.000000,0.000000
110.363000,117.236364,117.236364,0.000000,0.000000
110.642400,117.236364,117.236364,0.000000,0.000000
110.921800,117.236364,117.236364,0.000000,0.000000
111.201200,117.236364,117.236364,0.000000,0.000000
111.480600,117.236364,117.236364,0.000000,0.000000
111.760000,117.236364,117.236364,0.000000,0.000000
112.039400,117.236364,117.236364,0.000000,0.000000
112.318800,117.236364,117.236364,0.000000,0.000000
112.598200,117.236364,117.236364,0.000000,0.000000
112.877600,117.236364,117.236364,0.000000,0.000000
113.157000,117.236364,117.236364,0.000000,0.000000
113.436400,117.236364,117.236364,0.000000,0.000000
113.715800,117.236364,117.236364,0.000000,0.000000
113.995200,117.236364,117.236364,0.000000,0.000000
114.274600,117.236364,117.236364,0.000000,0.000000
114.554000,117.236364,117.236364,0.000000,0.000000
114.833400,117.236364,117.236364,0.000000,0.000000
115.112800,117.236364,117.236364,0.000000,0.000000
115.392200,117.236364,117.236364,0.000000,0.000000
115.671600,117.236364,117.236364,0.000000,0.000000
115.951000,117.236364,117.236364,0.000000,0.000000
116.230400,117.236364,117.236364,0.000000,0.000000
116.509800,117.236364,117.236364,0.000000,0.000000
116.789200,117.236364,117.236364,0.000000,0.000000
117.068600,117.236364,117.236364,0.000000,0.000000
117.348000,117.236364,117.236364,0.000000,0.000000
117.627400,117.236364,117.236364,0.000000,0.000000
117.906800,117.236364,117.236364,0.000000,0.000000
118.186200,117.236364,117.236364,0.000000,0.000000
118.465600,0.000000,0.000000,85.963636,85.963636
118.745000,0.000000,0.000000,85.963636,85.963636
119.024400,0.000000,0.000000,85.963636,85.963636
119.303800,0.000000,0.000000,85.963636,85.963636
119.583200,0.000000,0.000000,85.963636,85.963636
119.862600,0.000000,0.000000,85.963636,85.963636
120.142000,0.000000,0.000000,85.963636,85.963636
120.421400,0.000000,0.000000,85.963636,85.963636
120.700800,0.000000,0.000000,85.963636,85.963636
120.980200,0.000000,0.000000,85.963636,85.963636
121.259600,0.000000,0.000000,85.963636,85.963636
121.539000,0.000000,0.000000,85.963636,85.963636
121.818400,0.000000,0.000000,85.963636,85.963636
122.097800,0.000000,0.000000,85.963636,85.963636
122.377200,0.000000,0.000000,85.963636,85.963636
122.656600,0.000000,0.000000,85.963636,85.963636
122.936000,0.000000,0.000000,85.963636,85.963636
123.215400,0.000000,0.000000,85.963636,85.963636
123.494800,0.000000,0.000000,85.963636,85.963636
123.774200,0.000000,0.000000,85.963636,85.963636
124.053600,0.000000,0.000000,85.963636,85.963636
124.333000,0.000000,0.000000,85.963636,85.963636
124.612400,0.000000,0.000000,85.963636,85.963636
124.891800,0.000000,0.000000,85.963636,85.963636
