time_s,chassis_travel_mm,front_left_smoothed_mm,front_right_smoothed_mm,rear_left_smoothed_mm,rear_right_smoothed_mm,front_left_raw_mm,front_right_raw_mm,rear_left_raw_mm,rear_right_raw_mm
0.224000,44.800000,44.855592,44.855592,46.786800,46.786800,-40.474092,-40.474092,32.562800,32.562800
0.226000,45.200000,44.932973,44.932973,46.786800,46.786800,-40.321086,-40.321086,32.867600,32.867600
0.228000,45.600000,45.008484,45.008484,46.786800,46.786800,-40.192831,-40.192831,33.121600,33.121600
0.230000,46.000000,45.082140,45.082140,46.786800,46.786800,-40.038027,-40.038027,33.426400,33.426400
0.232000,46.400000,45.153961,45.153961,46.786800,46.786800,-39.882245,-39.882245,33.731200,33.731200
0.234000,46.800000,45.223964,45.223964,46.786800,46.786800,-39.725488,-39.725488,34.036000,34.036000
0.236000,47.200000,45.292168,45.292168,46.786800,46.786800,-39.594113,-39.594113,34.290000,34.290000
0.238000,47.600000,45.358590,45.358590,46.786800,46.786800,-39.435573,-39.435573,34.594800,34.594800
0.240000,48.000000,45.423251,45.423251,46.786800,46.786800,-39.276063,-39.276063,34.899600,34.899600
0.242000,48.400000,45.486171,45.486171,46.786800,46.786800,-39.142398,-39.142398,35.153600,35.153600
0.244000,48.800000,45.547367,45.547367,46.786800,46.786800,-38.981116,-38.981116,35.458400,35.458400
0.246000,49.200000,45.606863,45.606863,46.786800,46.786800,-38.818870,-38.818870,35.763200,35.763200
0.248000,49.600000,45.664677,45.664677,46.786800,46.786800,-38.655662,-38.655662,36.068000,36.068000
0.250000,50.000000,45.720831,45.720831,46.786800,46.786800,-38.518923,-38.518923,36.322000,36.322000
0.252000,50.400000,45.775346,45.775346,46.786800,46.786800,-38.353957,-38.353957,36.626800,36.626800
0.254000,50.800000,45.828244,45.828244,46.786800,46.786800,-38.188035,-38.188035,36.931600,36.931600
0.256000,51.200000,45.879547,45.879547,46.786800,46.786800,-38.049038,-38.049038,37.185600,37.185600
0.258000,51.600000,45.929278,45.929278,46.786800,46.786800,-37.881368,-37.881368,37.490400,37.490400
0.260000,52.000000,45.977459,45.977459,46.786800,46.786800,-37.712747,-37.712747,37.795200,37.795200
0.262000,52.400000,46.024112,46.024112,46.786800,46.786800,-37.543178,-37.543178,38.100000,38.100000
0.264000,52.800000,46.069262,46.069262,46.786800,46.786800,-37.401147,-37.401147,38.354000,38.354000
0.266000,53.200000,46.112932,46.112932,46.786800,46.786800,-37.229844,-37.229844,38.658800,38.658800
0.268000,53.600000,46.155145,46.155145,46.786800,46.786800,-37.057596,-37.057596,38.963600,38.963600
0.270000,54.000000,46.195926,46.195926,46.786800,46.786800,-36.884408,-36.884408,39.268400,39.268400
0.272000,54.400000,46.235298,46.235298,46.786800,46.786800,-36.739366,-36.739366,39.522400,39.522400
0.274000,54.800000,46.273287,46.273287,46.786800,46.786800,-36.564455,-36.564455,39.827200,39.827200
0.276000,55.200000,46.309917,46.309917,46.786800,46.786800,-36.388608,-36.388608,40.132000,40.132000
0.278000,55.600000,46.345213,46.345213,46.786800,46.786800,-36.241355,-36.241355,40.386000,40.386000
0.280000,56.000000,46.379200,46.379200,46.786800,46.786800,-36.063795,-36.063795,40.690800,40.690800
0.282000,56.400000,46.411903,46.411903,46.786800,46.786800,-35.885304,-35.885304,40.995600,40.995600
0.284000,56.800000,46.443348,46.443348,46.786800,46.786800,-35.705883,-35.705883,41.300400,41.300400
0.286000,57.200000,46.473561,46.473561,46.786800,46.786800,-35.555657,-35.555657,41.554400,41.554400
0.288000,57.600000,46.502566,46.502566,46.786800,46.786800,-35.374535,-35.374535,41.859200,41.859200
0.290000,58.000000,46.530391,46.530391,46.786800,46.786800,-35.192489,-35.192489,42.164000,42.164000
0.292000,58.400000,46.557060,46.557060,46.786800,46.786800,-35.009519,-35.009519,42.468800,42.468800
0.294000,58.800000,46.582601,46.582601,46.786800,46.786800,-34.856340,-34.856340,42.722800,42.722800
0.296000,59.200000,46.607039,46.607039,46.786800,46.786800,-34.671681,-34.671681,43.027600,43.027600
0.298000,59.600000,46.630401,46.630401,46.786800,46.786800,-34.486103,-34.486103,43.332400,43.332400
0.300000,60.000000,46.652713,46.652713,46.786800,46.786800,-34.330754,-34.330754,43.586400,43.586400
0.302000,60.400000,46.674001,46.674001,46.786800,46.786800,-34.143496,-34.143496,43.891200,43.891200
0.304000,60.800000,46.694292,46.694292,46.786800,46.786800,-33.955323,-33.955323,44.196000,44.196000
0.306000,61.200000,46.713613,46.713613,46.786800,46.786800,-33.766238,-33.766238,44.500800,44.500800
0.308000,61.600000,46.731989,46.731989,46.786800,46.786800,-33.607970,-33.607970,44.754800,44.754800
0.310000,62.000000,46.749447,46.749447,46.786800,46.786800,-33.417215,-33.417215,45.059600,45.059600
0.312000,62.400000,46.766014,46.766014,46.786800,46.786800,-33.225551,-33.225551,45.364400,45.364400
0.314000,62.800000,46.781715,46.781715,46.786800,46.786800,-33.032980,-33.032980,45.669200,45.669200
0.316000,63.200000,46.796578,46.796578,46.786800,46.786800,-32.871813,-32.871813,45.923200,45.923200
0.318000,63.600000,46.810629,46.810629,46.786800,46.786800,-32.677582,-32.677582,46.228000,46.228000
0.320000,64.000000,46.823893,46.823893,46.786800,46.786800,-32.482449,-32.482449,46.532800,46.532800
0.322000,64.400000,46.836397,46.836397,46.786800,46.786800,-32.319149,-32.319149,46.786800,46.786800
0.324000,64.800000,46.848167,46.848167,46.786800,46.786800,-32.122364,-32.122364,46.612132,46.612132
0.326000,65.200000,46.859228,46.859228,46.786800,46.786800,-31.924680,-31.924680,41.015957,41.015957
0.328000,65.600000,46.869606,46.869606,46.786797,46.786797,-31.726099,-31.726099,36.919782,36.919782
0.330000,66.000000,46.879327,46.879327,46.786769,46.786769,-31.559929,-31.559929,34.081374,34.081374
0.332000,66.400000,46.888415,46.888415,46.786683,46.786683,-31.359706,-31.359706,31.113615,31.113615
0.334000,66.800000,46.896896,46.896896,46.786491,46.786491,-31.158588,-31.158588,28.485500,28.485500
0.336000,67.200000,46.904796,46.904796,46.786139,46.786139,-30.956578,-30.956578,26.110447,26.110447
0.338000,67.600000,46.912137,46.912137,46.785563,46.785563,-30.787556,-30.787556,24.284307,24.284307
0.340000,68.000000,46.918945,46.918945,46.784691,46.784691,-30.583913,-30.583913,22.243287,22.243287
0.342000,68.400000,46.925244,46.925244,46.783449,46.783449,-30.379382,-30.379382,20.339887,20.339887
0.344000,68.800000,46.931058,46.931058,46.781753,46.781753,-30.208261,-30.208261,18.843489,18.843489
0.346000,69.200000,46.936409,46.936409,46.779518,46.779518,-30.002104,-30.002104,17.141269,17.141269
0.348000,69.600000,46.941322,46.941322,46.776653,46.776653,-29.795061,-29.795061,15.528656,15.528656
0.350000,70.000000,46.945818,46.945818,46.773065,46.773065,-29.587135,-29.587135,13.995068,13.995068
0.352000,70.400000,46.949921,46.949921,46.768656,46.768656,-29.413189,-29.413189,12.771166,12.771166
0.354000,70.800000,46.953652,46.953652,46.763326,46.763326,-29.203645,-29.203645,11.361106,11.361106
0.356000,71.200000,46.957033,46.957033,46.756972,46.756972,-28.993221,-28.993221,10.009204,10.009204
0.358000,71.600000,46.960085,46.960085,46.749490,46.749490,-28.781917,-28.781917,8.710219,8.710219
0.360000,72.000000,46.962828,46.962828,46.740774,46.740774,-28.605160,-28.605160,7.664896,7.664896
0.362000,72.400000,46.965283,46.965283,46.730714,46.730714,-28.392248,-28.392248,6.451708,6.451708
0.364000,72.800000,46.967471,46.967471,46.719201,46.719201,-28.178459,-28.178459,5.280218,5.280218
0.366000,73.200000,46.969409,46.969409,46.706124,46.706124,-27.999634,-27.999634,4.333630,4.333630
0.368000,73.600000,46.971116,46.971116,46.691373,46.691373,-27.784243,-27.784243,3.230967,3.230967
0.370000,74.000000,46.972611,46.972611,46.674834,46.674834,-27.567978,-27.567978,2.162292,2.162292
0.372000,74.400000,46.973912,46.973912,46.656396,46.656396,-27.350842,-27.350842,1.125442,1.125442
0.374000,74.800000,46.975034,46.975034,46.635945,46.635945,-27.169231,-27.169231,0.284309,0.284309
0.376000,75.200000,46.975995,46.975995,46.613367,46.613367,-26.950499,-26.950499,-0.699088,-0.699088
0.378000,75.600000,46.976810,46.976810,46.588549,46.588549,-26.730899,-26.730899,-1.655669,-1.655669
0.380000,76.000000,46.977494,46.977494,46.561379,46.561379,-26.510432,-26.510432,-2.586891,-2.586891
0.382000,76.400000,46.978062,46.978062,46.531744,46.531744,-26.326047,-26.326047,-3.344500,-3.344500
0.384000,76.800000,46.978527,46.978527,46.499536,46.499536,-26.103992,-26.103992,-4.232595,-4.232595
0.386000,77.200000,46.978902,46.978902,46.464652,46.464652,-25.881071,-25.881071,-5.098804,-5.098804
0.388000,77.600000,46.979199,46.979199,46.426993,46.426993,-25.694645,-25.694645,-5.804677,-5.804677
0.390000,78.000000,46.979429,46.979429,46.386464,46.386464,-25.470142,-25.470142,-6.633394,-6.633394
0.392000,78.400000,46.979604,46.979604,46.342977,46.342977,-25.244778,-25.244778,-7.442957,-7.442957
0.394000,78.800000,46.979732,46.979732,46.296446,46.296446,-25.018552,-25.018552,-8.234195,-8.234195
0.396000,79.200000,46.979823,46.979823,46.246790,46.246790,-24.829374,-24.829374,-8.880116,-8.880116
0.398000,79.600000,46.979884,46.979884,46.193934,46.193934,-24.601573,-24.601573,-9.639712,-9.639712
0.400000,80.000000,46.979923,46.979923,46.137805,46.137805,-24.372913,-24.372913,-10.383024,-10.383024
0.402000,80.400000,46.979945,46.979945,46.078336,46.078336,-24.143397,-24.143397,-11.110680,-11.110680
0.404000,80.800000,46.979957,46.979957,46.015464,46.015464,-23.951478,-23.951478,-11.705527,-11.705527
0.406000,81.200000,46.979962,46.979962,45.949128,45.949128,-23.720392,-23.720392,-12.405983,-12.405983
0.408000,81.600000,46.979963,46.979963,45.879274,45.879274,-23.488452,-23.488452,-13.092357,-13.092357
0.410000,82.000000,46.979964,46.979964,45.805851,45.805851,-23.294516,-23.294516,-13.653934,-13.653934
0.412000,82.400000,46.979964,46.979964,45.728810,45.728810,-23.061010,-23.061010,-14.315747,-14.315747
0.414000,82.800000,46.979964,46.979964,45.648110,45.648110,-22.826652,-22.826652,-14.964796,-14.964796
0.416000,83.200000,46.979964,46.979964,45.563710,45.563710,-22.591443,-22.591443,-15.601498,-15.601498
0.418000,83.600000,46.979964,46.979964,45.475574,45.475574,-22.394786,-22.394786,-16.122935,-16.122935
0.420000,84.000000,46.979964,46.979964,45.383671,45.383671,-22.158018,-22.158018,-16.738005,-16.738005
0.422000,84.400000,46.979964,46.979964,45.287972,45.287972,-21.920401,-21.920401,-17.341785,-17.341785
0.424000,84.800000,46.979964,46.979964,45.188453,45.188453,-21.681936,-21.681936,-17.934613,-17.934613
0.426000,85.200000,46.979964,46.979964,45.085092,45.085092,-21.482568,-21.482568,-18.420501,-18.420501
0.428000,85.600000,46.979964,46.979964,44.977873,44.977873,-21.242550,-21.242550,-18.994069,-18.994069
0.430000,86.000000,46.979964,46.979964,44.866780,44.866780,-21.001686,-21.001686,-19.557549,-19.557549
0.432000,86.400000,46.979964,46.979964,44.751804,44.751804,-20.800320,-20.800320,-20.019610,-20.019610
0.434000,86.800000,46.979964,46.979964,44.632936,44.632936,-20.557907,-20.557907,-20.565308,-20.565308
0.436000,87.200000,46.979964,46.979964,44.510173,44.510173,-20.314650,-20.314650,-21.101671,-21.101671
0.438000,87.600000,46.979964,46.979964,44.383514,44.383514,-20.070549,-20.070549,-21.628941,-21.628941
0.440000,88.000000,46.979964,46.979964,44.252961,44.252961,-19.866489,-19.866489,-22.061555,-22.061555
0.442000,88.400000,46.979964,46.979964,44.118520,44.118520,-19.620845,-19.620845,-22.572750,-22.572750
0.444000,88.800000,46.979964,46.979964,43.980198,43.980198,-19.374359,-19.374359,-23.075484,-23.075484
0.446000,89.200000,46.979964,46.979964,43.838009,43.838009,-19.127034,-19.127034,-23.569960,-23.569960
0.448000,89.600000,46.979964,46.979964,43.691967,43.691967,-18.920287,-18.920287,-23.975858,-23.975858
0.450000,90.000000,46.979964,46.979964,43.542088,43.542088,-18.671423,-18.671423,-24.455699,-24.455699
0.452000,90.400000,46.979964,46.979964,43.388393,43.388393,-18.421719,-18.421719,-24.927818,-24.927818
0.454000,90.800000,46.979964,46.979964,43.230906,43.230906,-18.212993,-18.212993,-25.315477,-25.315477
0.456000,91.200000,46.979964,46.979964,43.069652,43.069652,-17.961754,-17.961754,-25.773885,-25.773885
0.458000,91.600000,46.979964,46.979964,42.904659,42.904659,-17.709678,-17.709678,-26.225048,-26.225048
0.460000,92.000000,46.979964,46.979964,42.735960,42.735960,-17.456766,-17.456766,-26.669120,-26.669120
0.462000,92.400000,46.979964,46.979964,42.563587,42.563587,-17.245368,-17.245368,-27.033873,-27.033873
0.464000,92.800000,46.979964,46.979964,42.387578,42.387578,-16.990925,-16.990925,-27.465333,-27.465333
0.466000,93.200000,46.979964,46.979964,42.207971,42.207971,-16.735647,-16.735647,-27.890114,-27.890114
0.468000,93.600000,46.979964,46.979964,42.024808,42.024808,-16.479536,-16.479536,-28.308351,-28.308351
0.470000,94.000000,46.979964,46.979964,41.838132,41.838132,-16.265473,-16.265473,-28.651978,-28.651978
0.472000,94.400000,46.979964,46.979964,41.647989,41.647989,-16.007834,-16.007834,-29.058553,-29.058553
0.474000,94.800000,46.979964,46.979964,41.454428,41.454428,-15.749364,-15.749364,-29.458942,-29.458942
0.476000,95.200000,46.979964,46.979964,41.257499,41.257499,-15.533336,-15.533336,-29.787960,-29.787960
0.478000,95.600000,46.979964,46.979964,41.057255,41.057255,-15.273340,-15.273340,-30.177311,-30.177311
0.480000,96.000000,46.979964,46.979964,40.853751,40.853751,-15.012514,-15.012514,-30.560801,-30.560801
0.482000,96.400000,46.979964,46.979964,40.647044,40.647044,-14.750858,-14.750858,-30.938536,-30.938536
0.484000,96.800000,46.979964,46.979964,40.437193,40.437193,-14.532177,-14.532177,-31.248994,-31.248994
0.486000,97.200000,46.979964,46.979964,40.224259,40.224259,-14.269000,-14.269000,-31.616446,-31.616446
0.488000,97.600000,46.979964,46.979964,40.008305,40.008305,-14.004994,-14.004994,-31.978429,-31.978429
0.490000,98.000000,46.979964,46.979964,39.789396,39.789396,-13.740160,-13.740160,-32.335038,-32.335038
0.492000,98.400000,46.979964,46.979964,39.567599,39.567599,-13.518833,-13.518833,-32.628173,-32.628173
0.494000,98.800000,46.979964,46.979964,39.342982,39.342982,-13.252481,-13.252481,-32.975165,-32.975165
0.496000,99.200000,46.979964,46.979964,39.115615,39.115615,-12.985302,-12.985302,-33.317037,-33.317037
0.498000,99.600000,46.979964,46.979964,38.885570,38.885570,-12.762022,-12.762022,-33.598078,-33.598078
0.500000,100.000000,46.979964,46.979964,38.652921,38.652921,-12.493328,-12.493328,-33.930778,-33.930778
0.502000,100.400000,46.979964,46.979964,38.417743,38.417743,-12.223808,-12.223808,-34.258589,-34.258589
0.504000,100.800000,46.979964,46.979964,38.180112,38.180112,-11.953463,-11.953463,-34.581589,-34.581589
0.506000,101.200000,46.979964,46.979964,37.940108,37.940108,-11.727545,-11.727545,-34.847135,-34.847135
0.508000,101.600000,46.979964,46.979964,37.697809,37.697809,-11.455687,-11.455687,-35.161509,-35.161509
0.510000,102.000000,46.979964,46.979964,37.453297,37.453297,-11.183005,-11.183005,-35.471279,-35.471279
0.512000,102.400000,46.979964,46.979964,37.206654,37.206654,-10.955141,-10.955141,-35.725955,-35.725955
0.514000,102.800000,46.979964,46.979964,36.957964,36.957964,-10.680949,-10.680949,-36.027465,-36.027465
0.516000,103.200000,46.979964,46.979964,36.707312,36.707312,-10.405933,-10.405933,-36.324564,-36.324564
0.518000,103.600000,46.979964,46.979964,36.454785,36.454785,-10.130095,-10.130095,-36.617317,-36.617317
